iter	Passed	Remaining
0	0	50
1	0	40
2	1	39
3	1	37
4	2	38
5	2	37
6	2	37
7	3	35
8	4	41
9	4	38
10	4	37
11	4	36
12	5	35
13	5	34
14	5	33
15	6	32
16	6	32
17	6	31
18	7	31
19	7	30
20	7	29
21	8	29
22	8	28
23	8	28
24	9	28
25	9	27
26	10	27
27	10	26
28	10	26
29	11	25
30	11	25
31	11	25
32	12	24
33	12	24
34	12	23
35	13	23
36	13	23
37	13	22
38	14	22
39	14	21
40	15	21
41	15	20
42	15	20
43	15	20
44	16	19
45	16	19
46	17	19
47	17	18
48	17	18
49	18	18
50	18	17
51	18	17
52	19	17
53	19	16
54	19	16
55	20	16
56	20	15
57	21	15
58	21	15
59	22	14
60	22	14
61	23	14
62	23	13
63	23	13
64	24	13
65	24	12
66	25	12
67	25	11
68	25	11
69	26	11
70	26	10
71	27	10
72	27	10
73	27	9
74	28	9
75	28	9
76	29	8
77	29	8
78	29	7
79	30	7
80	30	7
81	31	6
82	31	6
83	31	6
84	32	5
85	32	5
86	33	4
87	33	4
88	34	4
89	34	3
90	34	3
91	35	3
92	35	2
93	35	2
94	36	1
95	36	1
96	37	1
97	37	0
98	37	0
99	38	0
