iter	Passed	Remaining
0	56	56369
1	57	28445
2	57	19093
3	57	14398
4	58	11584
5	58	9698
6	58	8361
7	59	7356
8	59	6577
9	60	5964
10	60	5457
11	61	5028
12	61	4677
13	61	4365
14	62	4104
15	62	3866
16	63	3658
17	63	3475
18	64	3308
19	64	3160
20	65	3030
21	65	2907
22	65	2797
23	66	2702
24	66	2608
25	67	2517
26	67	2435
27	68	2384
28	69	2314
29	69	2246
30	70	2188
31	70	2131
32	70	2076
33	71	2030
34	72	2008
35	73	1964
36	73	1916
37	74	1880
38	74	1839
39	75	1801
40	75	1771
41	76	1740
42	76	1705
43	76	1672
44	77	1641
45	77	1612
46	78	1585
47	78	1560
48	79	1537
49	79	1516
50	80	1493
51	80	1471
52	81	1448
53	81	1428
54	82	1410
55	82	1391
56	83	1373
57	83	1355
58	83	1335
59	84	1316
60	84	1298
61	84	1283
62	85	1267
63	85	1251
64	85	1236
65	86	1222
66	86	1208
67	87	1194
68	87	1179
69	87	1168
70	88	1156
71	88	1144
72	89	1132
73	89	1120
74	89	1109
75	90	1097
76	90	1087
77	91	1076
78	91	1066
79	92	1059
80	93	1059
81	93	1050
82	94	1039
83	94	1029
84	95	1028
85	95	1019
86	96	1010
87	96	1002
88	97	993
89	97	987
90	98	981
91	98	973
92	99	966
93	99	959
94	99	950
95	100	944
96	100	937
97	101	929
98	101	922
99	101	915
100	102	910
101	102	904
102	103	903
103	104	896
104	104	890
105	104	884
106	105	879
107	105	874
108	106	869
109	106	863
110	107	857
111	107	852
112	107	846
113	108	840
114	108	834
115	109	831
116	109	825
117	109	821
118	110	816
119	110	810
120	110	805
121	111	799
122	111	795
123	112	796
124	113	792
125	113	788
126	113	782
127	114	778
128	114	774
129	115	771
130	115	767
131	116	763
132	116	758
133	116	754
134	117	752
135	117	749
136	118	745
137	118	742
138	119	737
139	119	734
140	119	730
141	120	726
142	120	722
143	120	718
144	121	715
145	122	713
146	122	713
147	123	711
148	124	709
149	124	706
150	124	702
151	125	699
152	125	696
153	126	693
154	126	689
155	126	686
156	127	684
157	127	681
158	128	679
159	128	677
160	129	673
161	129	670
162	130	668
163	130	665
164	131	663
165	131	660
166	131	657
167	132	654
168	132	651
169	132	649
170	133	647
171	133	644
172	134	642
173	134	640
174	135	637
175	135	635
176	136	633
177	136	631
178	137	629
179	137	627
180	138	625
181	138	624
182	139	622
183	139	620
184	140	617
185	140	615
186	141	613
187	141	611
188	142	609
189	142	606
190	143	606
191	143	603
192	144	604
193	145	602
194	145	600
195	145	598
196	146	596
197	146	594
198	147	592
199	147	590
200	148	588
201	148	586
202	148	584
203	149	582
204	150	582
205	150	580
206	151	578
207	151	576
208	152	575
209	152	573
210	152	571
211	153	570
212	153	568
213	154	567
214	155	566
215	155	564
216	155	562
217	156	560
218	156	558
219	157	557
220	157	556
221	158	554
222	158	552
223	159	551
224	159	549
225	159	547
226	160	545
227	160	544
228	161	542
229	161	540
230	162	539
231	162	537
232	162	536
233	163	534
234	163	532
235	163	530
236	164	528
237	164	526
238	164	524
239	165	523
240	165	521
241	165	519
242	166	518
243	166	516
244	167	515
245	167	514
246	168	512
247	168	510
248	169	509
249	169	508
250	169	506
251	170	505
252	170	503
253	171	502
254	171	501
255	171	499
256	172	497
257	172	497
258	173	495
259	173	494
260	174	493
261	174	491
262	174	489
263	175	488
264	175	486
265	175	485
266	176	484
267	176	482
268	177	481
269	177	479
270	177	478
271	178	477
272	178	475
273	179	474
274	179	473
275	180	472
276	180	471
277	180	469
278	181	468
279	181	467
280	182	466
281	182	465
282	182	463
283	183	462
284	183	460
285	184	459
286	184	458
287	184	457
288	185	456
289	185	454
290	186	453
291	186	452
292	186	451
293	187	450
294	187	448
295	188	447
296	188	446
297	188	445
298	189	444
299	189	442
300	190	441
301	190	440
302	190	439
303	191	437
304	191	436
305	192	435
306	192	434
307	192	433
308	193	432
309	193	431
310	194	429
311	194	428
312	194	427
313	195	426
314	195	425
315	196	424
316	196	423
317	196	422
318	197	421
319	197	420
320	198	418
321	198	417
322	198	416
323	199	415
324	199	414
325	199	413
326	200	412
327	200	411
328	201	410
329	201	409
330	202	408
331	202	407
332	202	406
333	203	405
334	203	404
335	204	403
336	204	402
337	204	401
338	205	400
339	205	399
340	206	398
341	206	397
342	206	396
343	207	395
344	207	394
345	208	393
346	208	392
347	208	391
348	209	390
349	209	389
350	210	388
351	210	387
352	211	386
353	211	385
354	211	385
355	212	384
356	212	383
357	213	382
358	213	381
359	213	380
360	214	379
361	214	378
362	215	377
363	215	376
364	216	375
365	216	375
366	216	374
367	217	373
368	217	372
369	218	371
370	218	370
371	219	369
372	219	368
373	220	368
374	220	367
375	220	366
376	221	365
377	221	364
378	221	363
379	222	362
380	222	361
381	223	360
382	223	360
383	223	359
384	224	358
385	224	357
386	225	356
387	225	355
388	225	354
389	226	353
390	226	353
391	227	352
392	227	351
393	227	350
394	228	349
395	228	348
396	229	348
397	229	347
398	230	346
399	230	345
400	230	344
401	231	343
402	231	343
403	231	342
404	232	341
405	232	340
406	233	339
407	233	338
408	234	338
409	234	337
410	234	336
411	235	335
412	235	335
413	236	334
414	236	333
415	237	332
416	237	331
417	237	331
418	238	330
419	238	329
420	239	328
421	239	328
422	240	327
423	240	326
424	241	326
425	241	325
426	241	324
427	242	323
428	242	323
429	243	322
430	243	321
431	244	320
432	244	320
433	244	319
434	245	318
435	246	318
436	246	317
437	247	317
438	247	316
439	247	315
440	248	314
441	248	314
442	249	313
443	249	312
444	250	311
445	250	311
446	250	310
447	251	309
448	251	308
449	252	308
450	252	307
451	253	307
452	253	306
453	254	305
454	254	305
455	255	304
456	255	303
457	256	303
458	256	302
459	257	301
460	257	301
461	257	300
462	258	299
463	258	299
464	259	298
465	259	297
466	260	297
467	260	296
468	261	295
469	261	295
470	262	294
471	262	293
472	262	292
473	263	292
474	263	291
475	264	290
476	264	289
477	264	289
478	265	288
479	265	287
480	265	286
481	266	286
482	266	285
483	267	284
484	267	284
485	267	283
486	268	282
487	268	281
488	269	281
489	269	280
490	269	279
491	270	279
492	270	278
493	271	277
494	271	276
495	271	276
496	272	276
497	273	275
498	273	274
499	274	274
500	274	273
501	274	272
502	275	272
503	275	271
504	276	270
505	276	270
506	277	269
507	277	268
508	278	268
509	278	267
510	278	266
511	279	266
512	279	265
513	280	264
514	280	264
515	280	263
516	281	262
517	281	261
518	281	261
519	281	260
520	282	259
521	282	258
522	283	258
523	283	257
524	284	257
525	284	256
526	284	255
527	285	254
528	285	254
529	285	253
530	285	252
531	286	251
532	286	250
533	286	250
534	286	249
535	287	248
536	287	247
537	287	247
538	289	247
539	289	246
540	289	246
541	290	245
542	291	244
543	291	244
544	291	243
545	292	242
546	292	242
547	292	241
548	293	240
549	293	240
550	293	239
551	294	238
552	294	238
553	295	237
554	295	236
555	295	236
556	296	235
557	296	234
558	296	234
559	297	233
560	297	232
561	298	232
562	298	231
563	298	231
564	299	230
565	299	229
566	299	229
567	300	228
568	300	227
569	301	227
570	301	226
571	302	226
572	302	225
573	302	224
574	303	224
575	303	223
576	304	222
577	304	222
578	304	221
579	305	221
580	305	220
581	306	219
582	306	219
583	306	218
584	307	217
585	307	217
586	307	216
587	308	216
588	308	215
589	308	214
590	309	214
591	309	213
592	309	212
593	310	212
594	310	211
595	310	210
596	311	210
597	311	209
598	311	208
599	312	208
600	312	207
601	313	207
602	313	206
603	313	205
604	314	205
605	314	204
606	315	203
607	315	203
608	315	202
609	316	202
610	316	201
611	317	200
612	317	200
613	317	199
614	318	199
615	318	198
616	318	197
617	319	197
618	319	196
619	320	196
620	320	195
621	320	195
622	321	194
623	321	193
624	322	193
625	322	192
626	323	192
627	323	191
628	323	191
629	324	190
630	324	189
631	325	189
632	325	188
633	326	188
634	326	187
635	326	187
636	327	186
637	327	185
638	328	185
639	328	184
640	328	184
641	329	183
642	329	182
643	329	182
644	330	181
645	330	181
646	331	180
647	331	180
648	331	179
649	332	179
650	332	178
651	333	177
652	333	177
653	334	176
654	334	176
655	334	175
656	335	175
657	335	174
658	336	173
659	336	173
660	336	172
661	337	172
662	337	171
663	338	171
664	338	170
665	339	170
666	339	169
667	339	168
668	340	168
669	340	167
670	340	167
671	341	166
672	341	166
673	342	165
674	342	164
675	342	164
676	343	163
677	343	163
678	344	162
679	344	162
680	345	161
681	345	161
682	345	160
683	346	159
684	346	159
685	346	158
686	347	158
687	347	157
688	348	157
689	348	156
690	349	156
691	349	155
692	349	154
693	350	154
694	350	153
695	350	153
696	351	152
697	351	152
698	352	151
699	352	151
700	353	150
701	353	150
702	354	149
703	354	149
704	354	148
705	355	147
706	355	147
707	356	146
708	356	146
709	356	145
710	357	145
711	357	144
712	357	144
713	358	143
714	358	142
715	359	142
716	359	141
717	360	141
718	361	141
719	361	140
720	362	140
721	362	139
722	362	139
723	363	138
724	363	137
725	364	137
726	364	136
727	365	136
728	365	135
729	365	135
730	366	134
731	366	134
732	367	133
733	367	133
734	368	132
735	368	132
736	369	131
737	369	131
738	370	130
739	370	130
740	370	129
741	371	129
742	371	128
743	372	128
744	372	127
745	373	127
746	373	126
747	374	126
748	374	125
749	374	124
750	375	124
751	375	123
752	376	123
